Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J42,Picoblade,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,74.611852,-103.1632,180.0,top
J43,Picoblade,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,102.431852,-103.1632,180.0,top
J44,Picoblade,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,88.521852,-103.1632,180.0,top
J45,Picoblade,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,102.439726,-88.859616,180.0,top
J46,Picoblade,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,102.97891,-130.3836,180.0,top
J47,Picoblade,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,116.736863,-144.439555,180.0,top
J48,Picoblade,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,102.265863,-116.943589,180.0,top
J49,Picoblade,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,116.341852,-103.1632,180.0,top
J50,Picoblade,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,94.798488,-58.658,180.0,top
J51,Picoblade,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,116.88891,-130.3836,180.0,top
J52,Picoblade,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,89.06891,-130.3836,180.0,top
J53,Picoblade,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,116.086497,-73.588994,180.0,top
J54,Picoblade,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,74.619726,-88.859616,180.0,top
J55,Picoblade,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,74.356497,-73.588994,180.0,top
J56,Picoblade,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,88.266497,-73.588994,180.0,top
J57,Picoblade,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,102.176497,-73.588994,180.0,top
J58,Picoblade,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,116.175863,-116.943589,180.0,top
J59,Picoblade,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,124.479926,-58.6326,180.0,top
L1,56uH,L_Changjiang_FNR5020S,147.955,-113.4872,90.0,top
L2,1.2uH,L_Changjiang_FNR8040S,138.5316,-140.2306,180.0,top
L3,100uH,L_0603_1608Metric,133.0198,-77.9272,180.0,top
R1,100k,R_0402_1005Metric,159.131,-120.4468,-90.0,top
R2,10k,R_0402_1005Metric,136.017,-120.015,0.0,top
R3,18k,R_0402_1005Metric,159.131,-122.5042,-90.0,top
R4,5.9k,R_0402_1005Metric,136.017,-121.1072,180.0,top
R5,100k,R_0402_1005Metric,154.6332,-137.0048,180.0,top
R6,4.7k,R_0402_1005Metric,144.78,-145.463,-90.0,top
R7,12.4k,R_0402_1005Metric,136.9802,-129.8674,0.0,top
R8,18k,R_0402_1005Metric,152.5778,-137.0048,180.0,top
R9,57.6k,R_0402_1005Metric,145.8722,-143.5072,180.0,top
R10,10k,R_0402_1005Metric,139.063,-129.8674,0.0,top
R11,3.74k,R_0402_1005Metric,145.6436,-136.0142,0.0,top
R12,10,R_0402_1005Metric,135.6106,-78.1558,180.0,top
R13,11k,R_0402_1005Metric,163.9062,-77.47,90.0,top
R14,11k,R_0402_1005Metric,159.3396,-91.867033,-90.0,top
R15,442,R_0402_1005Metric,137.4648,-74.3458,0.0,top
R16,33k,R_0402_1005Metric,157.7648,-92.324233,180.0,top
R17,33k,R_0402_1005Metric,158.8062,-93.594233,180.0,top
R18,11k,R_0402_1005Metric,159.2634,-95.169033,-90.0,top
R19,11k,R_0402_1005Metric,168.0264,-93.086233,-90.0,top
R20,33k,R_0402_1005Metric,169.6012,-93.594233,0.0,top
R21,33k,R_0402_1005Metric,168.509,-94.889633,0.0,top
R22,11k,R_0402_1005Metric,168.0518,-96.515233,-90.0,top
R23,10k,R_0402_1005Metric,126.8984,-51.5874,180.0,top
R24,5.6k,R_0402_1005Metric,134.3556,-97.7158,-90.0,top
R25,1k,R_0402_1005Metric,133.2888,-99.7732,-90.0,top
R26,1.0R,R_1206_3216Metric,70.692411,-128.926001,-90.0,top
R27,10k,R_0402_1005Metric,125.4486,-109.8222,180.0,top
R28,10k,R_0402_1005Metric,104.922,-65.8696,0.0,top
R29,10k,R_0402_1005Metric,90.6018,-66.0146,0.0,top
R30,10k,R_0402_1005Metric,76.82,-65.9294,0.0,top
R31,1.0R,R_1206_3216Metric,77.6478,-57.007974,-90.0,top
R32,10k,R_0402_1005Metric,77.0128,-81.4578,0.0,top
R33,1k,R_0402_1005Metric,78.7166,-125.1668,0.0,top
R34,10k,R_0402_1005Metric,118.5926,-66.04,0.0,top
R35,10k,R_0402_1005Metric,91.5162,-121.666,180.0,top
R36,10k,R_0402_1005Metric,126.4412,-123.19,180.0,top
R37,10k,R_0402_1005Metric,97.1804,-50.6476,180.0,top
R38,1k,R_0402_1005Metric,85.8286,-53.248774,0.0,top
R39,10k,R_0402_1005Metric,125.9332,-96.0374,180.0,top
R40,10k,R_0402_1005Metric,78.742,-124.0746,0.0,top
R41,10k,R_0402_1005Metric,104.5906,-108.585,180.0,top
R42,10k,R_0402_1005Metric,119.0224,-135.3566,180.0,top
R43,10k,R_0402_1005Metric,105.5624,-122.6566,0.0,top
R44,10k,R_0402_1005Metric,104.902,-80.7212,180.0,top
R45,10k,R_0402_1005Metric,85.854,-52.156574,0.0,top
R46,10k,R_0402_1005Metric,90.805,-94.615,180.0,top
R47,10k,R_0402_1005Metric,104.8278,-94.9452,180.0,top
R48,10k,R_0402_1005Metric,77.0174,-95.522,180.0,top
R49,10k,R_0402_1005Metric,90.8538,-80.5942,180.0,top
R50,10k,R_0402_1005Metric,91.5944,-135.3312,180.0,top
R51,10k,R_0402_1005Metric,77.0362,-108.1786,180.0,top
R52,10k,R_0402_1005Metric,118.7216,-81.7118,0.0,top
R53,10k,R_0402_1005Metric,90.986,-108.195,180.0,top
R54,10k,R_0402_1005Metric,105.3338,-135.8138,180.0,top
R55,10k,R_0402_1005Metric,77.1378,-121.793,180.0,top
R56,10k,R_0402_1005Metric,112.0648,-50.927,0.0,top
R57,10k,R_0402_1005Metric,83.9436,-50.7836,0.0,top
R107,10k,R_0402_1005Metric,165.481,-81.155,-90.0,top
R108,1.0R,R_1206_3216Metric,105.4786,-57.065,-90.0,top
R109,1k,R_0402_1005Metric,113.5146,-53.3058,0.0,top
R110,10k,R_0402_1005Metric,113.54,-52.2136,0.0,top
R111,1.0R,R_1206_3216Metric,99.008825,-142.794401,-90.0,top
R112,1k,R_0402_1005Metric,107.1646,-139.0352,0.0,top
R113,10k,R_0402_1005Metric,107.19,-137.943,0.0,top
R114,1.0R,R_1206_3216Metric,84.4128,-115.37599,-90.0,top
R115,1k,R_0402_1005Metric,92.4326,-111.616789,0.0,top
R116,10k,R_0402_1005Metric,92.458,-110.524589,0.0,top
R117,1.0R,R_1206_3216Metric,112.406663,-87.292017,-90.0,top
R118,1k,R_0402_1005Metric,120.6266,-83.532816,0.0,top
R119,10k,R_0402_1005Metric,120.652,-82.440616,0.0,top
R120,1.0R,R_1206_3216Metric,70.5028,-115.37599,-90.0,top
R121,1k,R_0402_1005Metric,78.7146,-111.616789,0.0,top
R122,10k,R_0402_1005Metric,78.74,-110.524589,0.0,top
R123,1.0R,R_1206_3216Metric,85.184,-142.540401,-90.0,top
R124,1k,R_0402_1005Metric,93.4486,-138.7602,0.0,top
R125,10k,R_0402_1005Metric,93.474,-137.668,0.0,top
R126,1.0R,R_1206_3216Metric,84.586663,-87.292017,-90.0,top
R127,1k,R_0402_1005Metric,92.6866,-83.532816,0.0,top
R128,10k,R_0402_1005Metric,92.712,-82.440616,0.0,top
R129,1.0R,R_1206_3216Metric,70.668789,-101.595601,-90.0,top
R130,1k,R_0402_1005Metric,78.7166,-97.8364,0.0,top
R131,10k,R_0402_1005Metric,78.742,-96.7442,0.0,top
R132,1.0R,R_1206_3216Metric,98.488789,-101.595601,-90.0,top
R133,1k,R_0402_1005Metric,106.6566,-97.8364,0.0,top
R134,10k,R_0402_1005Metric,106.682,-96.7442,0.0,top
R135,1.0R,R_1206_3216Metric,84.578789,-101.595601,-90.0,top
R136,1k,R_0402_1005Metric,92.6866,-97.8364,0.0,top
R137,10k,R_0402_1005Metric,92.712,-96.7442,0.0,top
R138,1.0R,R_1206_3216Metric,98.496663,-87.292017,-90.0,top
R139,1k,R_0402_1005Metric,106.6566,-83.532816,0.0,top
R140,10k,R_0402_1005Metric,106.682,-82.440616,0.0,top
R141,1.0R,R_1206_3216Metric,99.035847,-128.816001,-90.0,top
R142,1k,R_0402_1005Metric,106.9106,-125.0442,0.0,top
R143,10k,R_0402_1005Metric,106.936,-123.952,0.0,top
R144,1.0R,R_1206_3216Metric,112.7938,-142.871956,-90.0,top
R145,1k,R_0402_1005Metric,120.8806,-139.112755,0.0,top
R146,10k,R_0402_1005Metric,120.906,-138.020555,0.0,top
R147,1.0R,R_1206_3216Metric,98.3228,-115.37599,-90.0,top
R148,1k,R_0402_1005Metric,106.4026,-111.616789,0.0,top
R149,10k,R_0402_1005Metric,106.428,-110.524589,0.0,top
R150,1.0R,R_1206_3216Metric,112.398789,-101.595601,-90.0,top
R151,1k,R_0402_1005Metric,120.6266,-97.8364,0.0,top
R152,10k,R_0402_1005Metric,120.652,-96.7442,0.0,top
R153,1.0R,R_1206_3216Metric,90.855425,-57.090401,-90.0,top
R154,1k,R_0402_1005Metric,99.0366,-53.3146,0.0,top
R155,10k,R_0402_1005Metric,99.062,-52.2224,0.0,top
R156,1.0R,R_1206_3216Metric,112.945847,-128.816001,-90.0,top
R157,1k,R_0402_1005Metric,121.1346,-125.0442,0.0,top
R158,10k,R_0402_1005Metric,121.16,-123.952,0.0,top
R159,1.0R,R_1206_3216Metric,85.125847,-128.816001,-90.0,top
R160,1k,R_0402_1005Metric,93.1946,-125.0568,0.0,top
R161,10k,R_0402_1005Metric,93.22,-123.9646,0.0,top
R162,1.0R,R_1206_3216Metric,112.143434,-72.021395,-90.0,top
R163,1k,R_0402_1005Metric,120.3726,-68.262194,0.0,top
R164,10k,R_0402_1005Metric,120.398,-67.169994,0.0,top
R165,1.0R,R_1206_3216Metric,70.676663,-87.292017,-90.0,top
R166,1k,R_0402_1005Metric,78.867,-84.4296,0.0,top
R167,10k,R_0402_1005Metric,78.8924,-83.3374,0.0,top
R168,1.0R,R_1206_3216Metric,70.413434,-72.021395,-90.0,top
R169,1k,R_0402_1005Metric,78.4626,-68.262194,0.0,top
R170,10k,R_0402_1005Metric,78.488,-67.169994,0.0,top
R171,1.0R,R_1206_3216Metric,84.323434,-72.021395,-90.0,top
R172,1k,R_0402_1005Metric,92.4326,-68.262194,0.0,top
R173,10k,R_0402_1005Metric,92.458,-67.169994,0.0,top
R174,1.0R,R_1206_3216Metric,98.233434,-72.021395,-90.0,top
R175,1k,R_0402_1005Metric,106.4026,-68.262194,0.0,top
R176,10k,R_0402_1005Metric,106.428,-67.169994,0.0,top
R177,1.0R,R_1206_3216Metric,112.2328,-115.37599,-90.0,top
R178,1k,R_0402_1005Metric,120.1186,-111.616789,0.0,top
R179,10k,R_0402_1005Metric,120.144,-110.524589,0.0,top
R180,1.0R,R_1206_3216Metric,120.536863,-57.065,-90.0,top
R181,1k,R_0402_1005Metric,128.746063,-53.4162,0.0,top
R182,10k,R_0402_1005Metric,128.771463,-52.324,0.0,top
SW1,SW_Push,SW_Push_1P1T_XKB_TS-1187A,170.18,-76.2,0.0,top
SW2,SW_Push,SW_Push_1P1T_XKB_TS-1187A,170.18,-82.5266,0.0,top
U1,TPS5430DDA,TI_SO-PowerPAD-8_ThermalVias,145.126,-121.2562,0.0,top
U2,TPS54620,RGY14_2P05X2P05,145.660001,-140.398999,180.0,top
U3,M24C02-WMN,SOIC-8_3.9x4.9mm_P1.27mm,145.796,-56.9214,-90.0,top
U4,TLV9062xD,SOIC-8_3.9x4.9mm_P1.27mm,163.683,-92.959233,0.0,top
U5,STSPIN250,VFQFPN16_STSPIN_STM,81.606263,-54.010774,0.0,top
U6,STM32H750VBTx,LQFP-100_14x14mm_P0.5mm,147.6248,-74.295,0.0,top
U7,STSPIN250,VFQFPN16_STSPIN_STM,74.650874,-125.9288,0.0,top
U12,STSPIN250,VFQFPN16_STSPIN_STM,109.437063,-54.0678,0.0,top
U34,STSPIN250,VFQFPN16_STSPIN_STM,102.967288,-139.7972,0.0,top
U35,STSPIN250,VFQFPN16_STSPIN_STM,88.371263,-112.378789,0.0,top
U36,STSPIN250,VFQFPN16_STSPIN_STM,116.365126,-84.294816,0.0,top
U37,STSPIN250,VFQFPN16_STSPIN_STM,74.461263,-112.378789,0.0,top
U38,STSPIN250,VFQFPN16_STSPIN_STM,89.142463,-139.5432,0.0,top
U39,STSPIN250,VFQFPN16_STSPIN_STM,88.545126,-84.294816,0.0,top
U40,STSPIN250,VFQFPN16_STSPIN_STM,74.627252,-98.5984,0.0,top
U41,STSPIN250,VFQFPN16_STSPIN_STM,102.447252,-98.5984,0.0,top
U42,STSPIN250,VFQFPN16_STSPIN_STM,88.537252,-98.5984,0.0,top
U43,STSPIN250,VFQFPN16_STSPIN_STM,102.455126,-84.294816,0.0,top
U44,STSPIN250,VFQFPN16_STSPIN_STM,102.99431,-125.8188,0.0,top
U45,STSPIN250,VFQFPN16_STSPIN_STM,116.752263,-139.874755,0.0,top
U46,STSPIN250,VFQFPN16_STSPIN_STM,102.281263,-112.378789,0.0,top
U47,STSPIN250,VFQFPN16_STSPIN_STM,116.357252,-98.5984,0.0,top
U48,STSPIN250,VFQFPN16_STSPIN_STM,94.813888,-54.0932,0.0,top
U49,STSPIN250,VFQFPN16_STSPIN_STM,116.90431,-125.8188,0.0,top
U50,STSPIN250,VFQFPN16_STSPIN_STM,89.08431,-125.8188,0.0,top
U51,STSPIN250,VFQFPN16_STSPIN_STM,116.101897,-69.024194,0.0,top
U52,STSPIN250,VFQFPN16_STSPIN_STM,74.635126,-84.294816,0.0,top
U53,STSPIN250,VFQFPN16_STSPIN_STM,74.371897,-69.024194,0.0,top
U54,STSPIN250,VFQFPN16_STSPIN_STM,88.281897,-69.024194,0.0,top
U55,STSPIN250,VFQFPN16_STSPIN_STM,102.191897,-69.024194,0.0,top
U56,STSPIN250,VFQFPN16_STSPIN_STM,116.191263,-112.378789,0.0,top
U57,STSPIN250,VFQFPN16_STSPIN_STM,124.495326,-54.0678,0.0,top
Y1,"24MHz, 9pF",Crystal_SMD_SeikoEpson_FA128-4Pin_2.0x1.6mm,134.4676,-74.168,0.0,top
